"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","abund_value","abund_unit","lng","lat","paleomodel","paleolng","paleolat","geoplate"
"787653","occ","","","56686","Delphinus n. sp. domeykoi","species","70701","","Delphinus domeykoi","species","70701","Zanclean","","5.333","3.6","16568","","","-71.346664","-29.970556","gp_mid","-70.55","-29.71","291"
"787658","occ","","","77581","Orycterocetus quadratidens","species","63668","","Orycterocetus quadratidens","species","63668","Zanclean","","5.333","3.6","13727","1","specimens","-77.366669","35.599998","gp_mid","-75.65","36.16","109"
"787659","occ","","","77581","Orycterocetus n. sp. cornutidens","species","69120","","Orycterocetus cornutidens","species","69120","Zanclean","","5.333","3.6","15586","1","specimens","-77.366669","35.599998","gp_mid","-75.65","36.16","109"
"788174","occ","23572","","80365","Brachydelphis sp.","genus","36685","","Brachydelphis","genus","36685","Late Miocene","","11.608","5.333","34357","5","specimens","-70.879440","-27.139168","gp_mid","-68.96","-26.74","291"
"788188","occ","","","56693","Physeter n. sp. antiquus","species","136970","","Physeter antiquus","species","136970","Pliocene","","5.333","2.588","13983","","","3.879167","43.608612","gp_mid","4.40","42.94","305"
"788228","occ","","","77750","Balaena biscayensis","species","80715","subjective synonym of","Eubalaena glacialis","species","81899","Early Pleistocene","","2.588","0.781","28641","","","1.297500","52.930557","gp_mid","1.70","52.60","315"
"788231","occ","","","58421","Physeter macrocephalus","species","68698","","Physeter macrocephalus","species","68698","Middle Pleistocene","","0.781","0.126","28641","1","specimens","1.359722","52.908890","gp_mid","1.36","52.91","315"
"788235","occ","21139","","77753","Physeterula dubusii ?","species","64464","corrected to","Physeterula dubusi","species","64464","Late Pliocene","","3.6","2.588","28641","","","1.313056","52.094166","gp_mid","1.87","51.61","315"
"788241","occ","","","58420","Orca gladiator","species","69787","subjective synonym of","Orcinus orca","species","64540","Early Pleistocene","","2.588","0.781","28641","1","specimens","1.266111","52.936390","gp_mid","1.67","52.61","315"
"788242","occ","","","77754","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Middle Pleistocene","","0.781","0.126","28641","1","specimens","1.435556","52.879444","gp_mid","1.44","52.88","315"
"788243","occ","","","48093","Monodon monoceros","species","64546","","Monodon monoceros","species","64546","Gelasian","","2.588","1.806","28641","1","specimens","1.351389","51.963333","gp_mid","1.74","51.63","315"
"788244","occ","","","85135","Monodon monoceros","species","64546","","Monodon monoceros","species","64546","Pleistocene","","2.588","0.0117","28641","1","specimens","1.320278","52.656387","gp_mid","1.52","52.49","315"
"788245","occ","","","58419","Delphinapterus leucas","species","65078","","Delphinapterus leucas","species","64545","Middle Pleistocene","","0.781","0.126","28641","1","specimens","1.344722","52.918056","gp_mid","1.34","52.92","315"
"788246","occ","","","77750","Tursiops tursio","species","69756","subjective synonym of","Tursiops truncatus","species","102834","Early Pleistocene","","2.588","0.781","28641","1","specimens","1.297500","52.930557","gp_mid","1.70","52.60","315"
"788247","occ","","","47425","Delphinus acutidens","species","63972","subjective synonym of","Physeterula dubusi","species","64464","Burdigalian","","20.44","15.97","23603","","","9.881944","48.095554","gp_mid","12.24","44.69","305"
"788248","occ","","","76978","n. gen. Physotherium n. sp. sotterii","species","63948","","Physotherium sotterii","species","63948","Pliocene","","5.333","2.588","13952","1","specimens","11.447500","45.305557","gp_mid","12.17","44.35","307"
"788249","occ","","","76978","n. gen. Priscophyseter n. sp. typus","species","63952","nomen dubium","Odontoceti","suborder","42937","Pliocene","","5.333","2.588","13952","1","specimens","11.447500","45.305557","gp_mid","12.17","44.35","307"
"788250","occ","","","48070","Ziphius n. sp. blasii","species","69832","nomen dubium","Cetacea","order","36652","Serravallian","","13.82","11.62","11981","1","specimens","36.706390","45.210835","gp_mid","37.15","42.49","302"
"788251","occ","","","48093","Ziphius n. sp. medilineatus","species","64851","nomen dubium","Mesoplodon","genus","36763","Gelasian","","2.588","1.806","14624","1","specimens","1.351389","51.963333","gp_mid","1.74","51.63","315"
"788252","occ","","","48093","Ziphius n. sp. gibbus","species","67995","nomen dubium","Mesoplodon","genus","36763","Gelasian","","2.588","1.806","14624","","","1.351389","51.963333","gp_mid","1.74","51.63","315"
