Stenella,rayi
Aprixokogia,kelloggi
Balaenoptera,acutorostrata
Gricetoides,aurorae
Ninoziphius,platyrostris
Ninoziphius,platyrostris
Monodon,monoceros
Dorudon,atrox
Basilosaurus,isis
Basilosaurus,isis
Masracetus,markgrafi
Dorudon,atrox
Basilosaurus,isis
Dorudon,atrox
Stromerius,nidensis
Saghacetus,osiris
Saghacetus,osiris
Stromerius,nidensis
Saghacetus,osiris
Saghacetus,osiris
Schizodelphis,sulcatus
Schizodelphis,sulcatus
Tusciziphius,atlanticus
Pseudorca,crassidens
Ninoziphius,platyrostris
Ninoziphius,platyrostris
Ninoziphius,platyrostris
Eubalaena,australis
Balaenoptera,physalus
Orcinus,orca
Ziphius,cavirostris
Physeter,macrocephalus
Globicephala,macrorhynchus
Saurocetes,argentinus
Squalodon,grateloupii
Indopacetus,pacificus
Indopacetus,pacificus
Indopacetus,pacificus
Indopacetus,pacificus
Indopacetus,pacificus
Eschrichtioides,gastaldii
Eschrichtius,robustus
Eschrichtius,robustus
Eschrichtius,robustus
Eschrichtius,robustus
Eschrichtius,robustus
Parietobalaena,yamaokai
Hibacetus,hirosei
Pomatodelphis,inaequalis
Stenasodelphis,russellae
Mesoplodon,longirostris
Palaeobalaena,bergi
Balaenoptera,musculus
Balaena,mysticetus
Balaena,mysticetus
Tasmacetus,shepherdi
Tasmacetus,shepherdi
Tasmacetus,shepherdi
Sousa,chinensis
Tursiops,aduncus
Eubalaena,glacialis
Balaenoptera,musculus
Balaenoptera,physalus
Balaenoptera,acutorostrata
Megaptera,novaeangliae
Physeter,macrocephalus
Berardius,bairdii
Mesoplodon,stejnegeri
Delphinapterus,leucas
Orcinus,orca
Lagenorhynchus,obliquidens
Phocoenoides,dalli
Phocoena,phocoena
Peponocephala,electra
Peponocephala,electra
Lagenodelphis,hosei
Feresa,attenuata
Cephalorhynchus,commersoni
Tursiops,truncatus
Delphinapterus,leucas
Delphinapterus,leucas
Eschrichtius,robustus
Delphinapterus,leucas
Saghacetus,osiris
Tursiops,aduncus
Balaenoptera,acutorostrata
Balaenoptera,bonaerensis
Kogia,breviceps
Physeter,macrocephalus
Balaenoptera,borealis
Balaenoptera,musculus
Kogia,breviceps
Globicephala,macrorhynchus
Globicephala,macrorhynchus
Globicephala,macrorhynchus
Kogia,breviceps
Kogia,breviceps
Kogia,sima
Kogia,breviceps
Kogia,sima
Kogia,sima
Megaptera,novaeangliae
Mesoplodon,densirostris
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Physeter,macrocephalus
Stenella,longirostris
Stenella,longirostris
Dorudon,atrox
Georgiacetus,vogtlensis
Georgiacetus,vogtlensis
Septemtriocetus,bosselaersi
Aetiocetus,cotylalveus
Balaena,mysticetus
Albireo,whistleri
Albireo,whistleri
Albireo,savagei
Zygorhiza,kochii
Dorudon,atrox
Protocetus,atavus
Albertocetus,meffordorum
Lissodelphis,peronii
Lissodelphis,borealis
Hemisyntrachelus,cortesii
Tursiops,brocchii
Physeterula,dubusi
Delphinodon,carniolicus
Heterodelphis,croatica
Mesocetus,agrami
Piscolithax,aenigmaticus
Pachyacanthus,suessii
Argyrocetus,bakersfieldensis
Prosqualodon,australis
Argyrocetus,patagonicus
Hemisyntrachelus,cortesii
Hemisyntrachelus,cortesii
Hemisyntrachelus,cortesii
Hemisyntrachelus,cortesii
Schizodelphis,compressus
Schizodelphis,planus
Xiphiacetus,bossi
Xiphiacetus,bossi
Xiphiacetus,cristatus
Xiphiacetus,cristatus
Xiphiacetus,cristatus
Hoplocetus,crassidens
Hoplocetus,crassidens
Hoplocetus,curvidens
Scaldicetus,grandis
Scaldicetus,minor
Delphinus,domeykoi
Orycterocetus,quadratidens
Orycterocetus,cornutidens
Physeter,antiquus
Eubalaena,glacialis
Physeter,macrocephalus
Physeterula,dubusi
Orcinus,orca
Pseudorca,crassidens
Monodon,monoceros
Monodon,monoceros
Delphinapterus,leucas
Tursiops,truncatus
Physeterula,dubusi
Physotherium,sotterii
Cetorhynchus,christoli
Choneziphius,planirostris
Choneziphius,planirostris
Choneziphius,planirostris
Ziphius,compressus
Belemnoziphius,compressus
Pomatodelphis,stenorhynchus
Cetotherium,crassangulum
Zarhachis,flagellator
Squalodon,atlanticus
Balaenoptera,davidsonii
Cetotherium,parvum
Mesoplodon,longirostris
Squalodon,bordae
Squalodon,linzianus
Squalodon,meyeri
Squalodon,vocontiorum
Patriocetus,denggi
Patriocetus,ehrlichii
Squalodon,peregrinus
Zignodelphis,miocaenus
Cetotherium,capellinii
Balaenoptera,(Plesiocetus)
Plesiocetus,gervaisii
Plesiocetus,minor
Pachyacanthus,suessii
Eucetotherium,helmersenii
Cetotheriopsis,lintianus
Balaena,dubusi
Balaena,larteti
Balaenotus,insignis
Heterocetus,brevifrons
Aglaocetus,burtinii
Herpetocetus,scaldiensis
Herpetocetus,scaldiensis
Herpetocetus,scaldiensis
Mesocetus,siphunculus
Squalodon,grateloupii
Balaena,arcuata
Balaenula,balaenopsis
Squalodon,grateloupii
Mesocetus,aquitanicus
Mesocetus,aquitanicus
Physeter,antiquus
Pachyacanthus,suessii
Pachyacanthus,suessii
Pachyacanthus,suessii
